first_name,last_name,college_G,college_GS,college_MP,FG_per100,FGA_per100,FG%_per100,2P_per100,2PA_per100,2P%_per100,3P_per100,3PA_per100,3P%_per100,FT_per100,FTA_per100,FT%_per100,TRB_per100,AST_per100,STL_per100,BLK_per100,TOV_per100,PF_per100,PTS_per100,ORtg_per100,DRtg_per100
terrence,jones,38,34,1115,9.6,19.1,0.5,8.7,16.5,0.528,0.9,2.7,0.327,5.4,8.5,0.627,14.7,2.8,2.7,3.7,3.4,4.9,25.4,115.3,88.9
andrew,nicholson,32,32,962,14.1,24.6,0.5710000000000001,12.6,21.2,0.593,1.5,3.4,0.434,8.2,10.6,0.7759999999999979,17.2,2.1,1.3,4.0,5.1,5.8,37.8,120.1,95.2
jared,sullinger,37,36,1123,12.2,23.4,0.519,11.3,21.3,0.531,0.9,2.1,0.4,9.3,12.2,0.768,18.1,2.5,2.3,2.1,3.8,5.8,34.5,121.8,86.0
fab,melo,30,30,763,7.9,13.9,0.5660000000000001,7.9,13.9,0.5660000000000001,0.0,0.0,,3.1,4.8,0.633,14.1,1.7,1.2,7.1,3.5,6.8,18.8,112.9,94.2
john,jenkins,35,35,1177,11.3,23.8,0.474,4.3,7.9,0.542,6.9,15.8,0.439,6.6,7.9,0.8370000000000001,5.2,2.2,1.5,0.6,2.9,2.2,36.1,129.4,104.3
jared,cunningham,36,35,1245,9.0,19.9,0.45,6.7,13.2,0.507,2.3,6.7,0.33799999999999797,9.0,12.2,0.737,6.3,4.6,4.1,0.7,4.6,3.9,29.2,111.4,100.5
tony,wroten,35,27,1062,10.5,23.8,0.442999999999998,10.1,20.8,0.483,0.5,3.0,0.161,8.2,14.1,0.583,9.4,6.9,3.5,0.7,7.0,5.0,29.8,98.8,98.7
miles,plumlee,34,16,697,7.5,12.3,0.61,7.5,12.3,0.61,0.0,0.0,,4.0,6.4,0.632,20.3,1.5,1.5,2.7,3.5,6.5,19.0,121.1,96.4
arnett,moultrie,30,30,1073,10.3,18.7,0.5489999999999979,9.8,17.7,0.555,0.5,1.0,0.444,7.1,9.1,0.78,17.9,2.0,1.4,1.3,4.2,3.8,28.0,118.3,100.4
perry,jones,33,33,1013,10.7,21.4,0.5,10.1,19.5,0.52,0.6,1.9,0.303,4.2,6.0,0.696,14.8,2.5,1.6,1.2,3.3,4.5,26.2,113.4,98.0
marquis,teague,40,40,1303,6.7,16.3,0.41200000000000003,5.5,12.6,0.437999999999998,1.2,3.7,0.325,3.9,5.5,0.7140000000000001,4.7,8.8,1.7,0.5,5.0,4.2,18.6,101.7,99.5
festus,ezeli,26,22,603,9.0,16.7,0.539,9.0,16.7,0.539,0.0,0.0,,8.5,14.1,0.604,15.6,0.8,1.1,5.3,5.9,8.3,26.5,103.4,96.1
jeffery,taylor,36,36,1157,11.1,22.5,0.493,7.6,14.2,0.532999999999998,3.5,8.2,0.423,5.0,8.3,0.605,10.6,3.3,2.4,0.8,4.2,3.5,30.7,114.4,99.8
