first_name,last_name,college_PER,college_TS%,college_eFG%,college_3PAr,college_FTr,college_PProd,college_ORB%,college_DRB%,college_TRB%,college_AST%,college_STL%,college_BLK%,college_TOV%,college_USG%,college_OWS,college_DWS,college_WS,college_WS_40,college_OBPM,college_DBPM,college_BPM
dakari,johnson,22.3,0.552999999999999,0.506,0.0,0.9229999999999989,256,13.4,19.1,16.5,8.9,1.4,6.1,15.8,22.0,1.6,2.0,3.6,0.22899999999999898,3.0,7.2,10.2
aaron,white,29.3,0.633,0.552999999999999,0.18,0.726,509,7.7,18.5,13.2,10.2,2.6,1.7,8.5,23.5,5.0,2.2,7.2,0.27,8.5,3.3,11.8
tyler,harvey,26.9,0.643,0.6,0.606,0.359,664,2.0,9.6,5.8,13.9,1.8,0.4,10.0,27.5,5.7,0.4,6.1,0.207,7.6,-4.7,2.9
sirdominic,pointer,24.7,0.5660000000000001,0.527,0.075,0.413,465,6.3,17.2,11.9,18.0,3.3,7.4,14.2,21.0,2.8,2.4,5.2,0.18,3.7,7.4,11.1
cady,lalanne,20.8,0.5820000000000001,0.557999999999999,0.07200000000000001,0.5720000000000001,352,13.5,23.4,18.5,2.4,1.2,6.4,20.1,21.3,1.4,1.5,2.9,0.126,-0.1,2.1,2.0
branden,dawson,23.8,0.5329999999999989,0.535,0.0,0.306,408,11.9,23.5,17.9,12.2,2.5,6.3,14.7,23.4,2.0,2.5,4.4,0.168,2.2,7.3,9.5
jp,tokoto,15.9,0.484,0.45,0.11800000000000001,0.43200000000000005,378,6.4,14.3,10.6,24.0,2.9,1.3,20.7,17.9,1.4,1.9,3.3,0.11800000000000001,3.3,5.3,8.6
andrew,wiggins,21.4,0.563,0.499,0.299,0.5379999999999989,564,8.4,12.3,10.4,9.2,2.1,3.1,13.1,26.3,3.2,1.7,4.9,0.17,5.4,3.0,8.5
jabari,parker,28.4,0.557999999999999,0.511,0.212,0.429,623,11.4,23.1,17.1,8.6,2.1,4.0,11.9,32.7,3.6,1.9,5.5,0.205,4.3,2.3,6.6
aaron,gordon,20.4,0.503,0.516,0.11800000000000001,0.47100000000000003,469,10.4,19.3,14.9,13.0,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.183,2.8,6.7,9.6
