first_name,last_name,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS_48,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
jamal,murray,,,,,,,,,,,,,,,,,,,,,,
marquese,chriss,,,,,,,,,,,,,,,,,,,,,,
jakob,poeltl,,,,,,,,,,,,,,,,,,,,,,
domantas,sabonis,,,,,,,,,,,,,,,,,,,,,,
taurean,prince,,,,,,,,,,,,,,,,,,,,,,
denzel,valentine,,,,,,,,,,,,,,,,,,,,,,
wade,baldwin,,,,,,,,,,,,,,,,,,,,,,
henry,ellenson,,,,,,,,,,,,,,,,,,,,,,
malik,beasley,,,,,,,,,,,,,,,,,,,,,,
caris,levert,,,,,,,,,,,,,,,,,,,,,,
deandre,bembry,,,,,,,,,,,,,,,,,,,,,,
malachi,richardson,,,,,,,,,,,,,,,,,,,,,,
brice,johnson,,,,,,,,,,,,,,,,,,,,,,
pascal,siakam,,,,,,,,,,,,,,,,,,,,,,
skal,labissiere,,,,,,,,,,,,,,,,,,,,,,
dejounte,murray,,,,,,,,,,,,,,,,,,,,,,
damian,jones,,,,,,,,,,,,,,,,,,,,,,
deyonta,davis,,,,,,,,,,,,,,,,,,,,,,
cheick,diallo,,,,,,,,,,,,,,,,,,,,,,
tyler,ulis,,,,,,,,,,,,,,,,,,,,,,
malcolm,brogdon,,,,,,,,,,,,,,,,,,,,,,
chinanu,onuaku,,,,,,,,,,,,,,,,,,,,,,
patrick,mccaw,,,,,,,,,,,,,,,,,,,,,,
diamond,stone,,,,,,,,,,,,,,,,,,,,,,
stephen,zimmermanjr,,,,,,,,,,,,,,,,,,,,,,
isaiah,whitehead,,,,,,,,,,,,,,,,,,,,,,
demetrius,jackson,,,,,,,,,,,,,,,,,,,,,,
aj,hammons,,,,,,,,,,,,,,,,,,,,,,
jake,layman,,,,,,,,,,,,,,,,,,,,,,
michael,gbinije,,,,,,,,,,,,,,,,,,,,,,
georges,niang,,,,,,,,,,,,,,,,,,,,,,
ben,bentil,,,,,,,,,,,,,,,,,,,,,,
joel,bolomboy,,,,,,,,,,,,,,,,,,,,,,
kahlil,felder,,,,,,,,,,,,,,,,,,,,,,
marcus,paige,,,,,,,,,,,,,,,,,,,,,,
daniel,hamilton,,,,,,,,,,,,,,,,,,,,,,
abdel,nader,,,,,,,,,,,,,,,,,,,,,,
isaiah,cousins,,,,,,,,,,,,,,,,,,,,,,
