first_name,last_name,last_college_season,%_shots_at_rim,FG%_at_rim,%assisted_at_rim,%_shots_2pt_J,FG%_2pt_Jumpers,%assisted_2pt_J,%of_shots_3pt,3FG%,%assisted_3s,FTA/FGA,FT%
willie,cauley-stein,2014-15,0.606,0.727,0.692,0.394,0.333,0.355,0.0,---,---,0.542,0.617
stanley,johnson,2014-15,0.287,0.527,0.424,0.415,0.444,0.208,0.297,0.371,0.814,0.456,0.742
frank,kaminsky,2014-15,0.41,0.7,0.486,0.383,0.455,0.212,0.207,0.416,0.952,0.41,0.78
justise,winslow,2014-15,0.43,0.667,0.333,0.261,0.269,0.12,0.309,0.418,0.935,0.438,0.641
myles,turner,2014-15,0.238,0.717,0.651,0.52,0.427,0.643,0.242,0.279,0.765,0.444,0.839
trey,lyles,2014-15,0.358,0.744,0.609,0.521,0.392,0.571,0.121,0.138,0.75,0.425,0.735
devin,booker,2014-15,0.206,0.729,0.558,0.303,0.391,0.294,0.491,0.411,0.983,0.223,0.828
cameron,payne,2014-15,0.179,0.628,0.153,0.414,0.456,0.182,0.406,0.38,0.58,0.309,0.778
kelly,oubre,2014-15,0.305,0.603,0.455,0.31,0.392,0.207,0.385,0.37,1,0.444,0.717
terry,rozier,2014-15,0.269,0.55,0.208,0.43,0.397,0.067,0.301,0.306,0.917,0.338,0.79
rashad,vaughn,2014-15,0.284,0.538,0.28,0.287,0.426,0.325,0.43,0.383,0.889,0.299,0.694
sam,dekker,2014-15,0.443,0.75,0.459,0.182,0.378,0.179,0.374,0.329,0.82,0.278,0.708
jerian,grant,2014-15,0.313,0.731,0.242,0.311,0.403,0.173,0.376,0.321,0.4,0.516,0.78
delon,wright,2014-15,0.485,0.643,0.139,0.29,0.404,0.026,0.225,0.356,0.538,0.565,0.836
justin,anderson,2014-15,0.31,0.631,0.39,0.21,0.25,0.273,0.481,0.446,0.911,0.381,0.775
bobby,portis,2014-15,0.41,0.754,0.486,0.526,0.376,0.62,0.064,0.467,0.929,0.335,0.737
rondae,hollis-jefferson,2014-15,0.473,0.723,0.521,0.422,0.328,0.316,0.105,0.207,1,0.745,0.707
tyus,jones,2014-15,0.25,0.556,0.244,0.367,0.361,0.07,0.383,0.379,0.787,0.5,0.889
jarell,martin,2014-15,0.506,0.687,0.601,0.363,0.347,0.34,0.131,0.269,0.929,0.511,0.69
larry,nance,2014-15,0.336,0.818,0.636,0.547,0.365,0.639,0.117,0.333,0.929,0.403,0.786
rj,hunter,2014-15,0.168,0.733,0.381,0.32,0.366,0.333,0.512,0.305,0.738,0.449,0.878
chris,mccullough,2014-15,0.522,0.593,0.543,0.469,0.34,0.778,0.009,1,1,0.628,0.563
kevon,looney,2014-15,0.52,0.617,0.417,0.315,0.257,0.385,0.165,0.415,0.909,0.458,0.626
montrezl,harrell,2014-15,0.487,0.809,0.588,0.415,0.359,0.411,0.098,0.243,0.889,0.508,0.597
jordan,mickey,2014-15,0.412,0.673,0.61,0.565,0.397,0.6,0.024,0.111,1,0.388,0.646
anthony,brown,2014-15,0.245,0.56,0.143,0.316,0.318,0.317,0.439,0.441,0.848,0.358,0.795
rakeem,christmas,2014-15,0.482,0.701,0.758,0.515,0.418,0.582,0.003,0,---,0.52,0.712
richaun,holmes,2014-15,0.571,0.688,0.518,0.282,0.392,0.419,0.146,0.39,0.875,0.539,0.709
darrun,hilliard,2014-15,0.249,0.583,0.429,0.223,0.407,0.486,0.528,0.387,0.785,0.267,0.796
josh,richardson,2014-15,0.188,0.64,0.208,0.491,0.459,0.211,0.321,0.359,0.87,0.311,0.798
pat,connaughton,2014-15,0.278,0.557,0.481,0.1,0.486,0.471,0.622,0.424,0.957,0.178,0.774
olivier,hanlan,2014-15,0.361,0.62,0.306,0.268,0.368,0.184,0.371,0.353,0.785,0.292,0.759
joseph,young,2014-15,0.238,0.624,0.341,0.331,0.439,0.233,0.431,0.357,0.703,0.226,0.925
andrew,harrison,2014-15,0.247,0.53,0.114,0.401,0.28,0.1,0.352,0.383,0.722,0.596,0.792
marcus,thornton,2014-15,0.456,0.664,0.6,0.438,0.333,0.561,0.107,0.3,0.889,0.53,0.691
norman,powell,2014-15,0.493,0.57,0.282,0.253,0.373,0.295,0.255,0.319,0.974,0.362,0.751
dakari,johnson,2014-15,0.571,0.64,0.526,0.429,0.328,0.545,0.0,---,---,0.923,0.625
aaron,white,2014-15,0.491,0.727,0.675,0.329,0.306,0.394,0.18,0.356,0.952,0.726,0.819
tyler,harvey,2014-15,0.21,0.583,0.1,0.184,0.467,0.119,0.606,0.431,0.547,0.359,0.852
sirdominic,pointer,2014-15,0.506,0.704,0.437,0.419,0.386,0.37,0.075,0.08,0.5,0.413,0.725
cady,lalanne,2014-15,0.684,0.678,0.603,0.244,0.311,0.632,0.072,0.167,1,0.572,0.636
branden,dawson,2014-15,0.5,0.735,0.704,0.5,0.335,0.421,0.0,---,---,0.306,0.49
jp,tokoto,2014-15,0.224,0.763,0.333,0.658,0.324,0.196,0.118,0.355,1,0.414,0.596
andrew,wiggins,2013-14,0.365,0.636,0.459,0.336,0.338,0.208,0.299,0.341,0.767,0.538,0.775
jabari,parker,2013-14,0.37,0.627,0.543,0.418,0.392,0.463,0.212,0.358,0.921,0.428,0.748
aaron,gordon,2013-14,0.463,0.729,0.612,0.419,0.275,0.227,0.118,0.356,0.875,0.471,0.422
marcus,smart,2013-14,0.347,0.649,0.31,0.228,0.307,0.333,0.425,0.299,0.612,0.648,0.728
julius,randle,2013-14,0.459,0.7,0.349,0.495,0.345,0.209,0.046,0.167,1,0.737,0.706
nik,stauskas,2013-14,0.203,0.65,0.346,0.269,0.387,0.244,0.528,0.442,0.717,0.518,0.824
noah,vonleh,2013-14,0.625,0.593,0.375,0.222,0.354,0.412,0.153,0.485,0.938,0.62,0.716
elfrid,payton,2013-14,0.574,0.704,0.245,0.31,0.243,0.029,0.116,0.259,0.357,0.649,0.609
doug,mcdermott,2013-14,0.384,0.685,0.648,0.274,0.401,0.449,0.341,0.449,0.906,0.329,0.864
zach,lavine,2013-14,0.323,0.548,0.49,0.233,0.418,0.286,0.444,0.375,0.854,0.236,0.691
tj,warren,2013-14,0.37,0.759,0.475,0.452,0.434,0.359,0.178,0.267,0.935,0.347,0.69
adreian,payne,2013-14,0.353,0.68,0.553,0.353,0.392,0.429,0.294,0.423,0.977,0.39,0.79
james,young,2013-14,0.22,0.616,0.328,0.258,0.345,0.225,0.522,0.349,0.976,0.393,0.706
tyler,ennis,2013-14,0.381,0.547,0.173,0.383,0.312,0.14,0.236,0.353,0.567,0.414,0.765
gary,harris,2013-14,0.253,0.583,0.478,0.242,0.427,0.426,0.505,0.352,0.864,0.312,0.81
mitch,mcgary,2013-14,0.4,0.727,0.562,0.564,0.452,0.429,0.036,0,---,0.436,0.667
jordan,adams,2013-14,0.331,0.669,0.516,0.329,0.433,0.705,0.34,0.356,0.981,0.441,0.836
rodney,hood,2013-14,0.189,0.641,0.36,0.4,0.424,0.214,0.41,0.42,0.704,0.328,0.807
shabazz,napier,2013-14,0.266,0.53,0.143,0.3,0.376,0.107,0.433,0.405,0.414,0.48,0.87
pj,hairston,2012-13,0.144,0.623,0.242,0.247,0.407,0.324,0.61,0.396,0.899,0.306,0.779
cj,wilcox,2013-14,0.182,0.709,0.429,0.29,0.405,0.216,0.529,0.391,0.733,0.271,0.873
josh,huestis,2013-14,0.277,0.688,0.485,0.5,0.37,0.328,0.223,0.338,0.962,0.295,0.627
kyle,anderson,2013-14,0.263,0.586,0.207,0.584,0.432,0.2,0.154,0.483,0.821,0.493,0.737
kj,mcdaniels,2013-14,0.341,0.697,0.37,0.356,0.364,0.237,0.303,0.304,0.833,0.402,0.842
